gen,fit,cross,rec,size,wires
557,-0.125000,42,4,9,51
558,-0.125000,42,4,9,51
559,-0.125000,42,4,9,51
560,-0.125000,42,4,9,51
561,-0.125000,42,4,9,51
562,-0.125000,42,4,9,51
563,-0.125000,42,4,9,51
564,-0.125000,42,4,9,51
565,-0.125000,42,4,9,51
566,-0.125000,42,4,9,51
567,-0.125000,42,4,9,51
568,-0.125000,42,4,9,51
569,-0.125000,42,4,9,51
570,-0.125000,42,4,9,51
571,-0.125000,42,4,9,51
572,-0.125000,42,4,9,51
573,-0.125000,42,4,9,51
574,-0.125000,42,4,9,51
575,-0.125000,42,4,9,51
576,-0.125000,42,4,9,51
577,-0.125000,42,4,9,51
578,-0.125000,42,4,9,51
579,-0.125000,42,4,9,51
580,-0.125000,42,4,9,51
581,-0.125000,42,4,9,51
582,-0.125000,42,4,9,51
583,-0.125000,42,4,9,51
584,-0.125000,42,4,9,51
585,-0.125000,42,4,9,51
586,-0.125000,42,4,9,51
587,-0.125000,42,4,9,51
588,-0.125000,42,4,9,51
589,-0.125000,42,4,9,51
590,-0.125000,42,4,9,51
591,-0.125000,42,4,9,51
592,-0.125000,42,4,9,51
593,-0.125000,42,4,9,51
594,-0.125000,42,4,9,51
595,-0.125000,42,4,9,51
596,-0.125000,42,4,9,51
597,-0.125000,42,4,9,51
598,-0.125000,42,4,9,51
599,-0.125000,42,4,9,51
600,-0.125000,42,4,9,51
601,-0.125000,42,4,9,51
602,-0.125000,42,4,9,51
603,-0.125000,42,4,9,51
604,-0.125000,42,4,9,51
605,-0.125000,42,4,9,51
606,-0.125000,42,4,9,51
607,-0.125000,42,4,9,51
608,-0.125000,42,4,9,51
609,-0.125000,42,4,9,51
610,-0.125000,42,4,9,51
611,-0.125000,42,4,9,51
612,-0.125000,42,4,9,51
613,-0.125000,42,4,9,51
614,-0.125000,42,4,9,51
615,-0.125000,42,4,9,51
616,-0.125000,42,4,9,51
617,-0.125000,42,4,9,51
618,-0.125000,42,4,9,51
619,-0.125000,42,4,9,51
620,-0.125000,42,4,9,51
621,-0.125000,42,4,9,51
622,-0.125000,42,4,9,51
623,-0.125000,42,4,9,51
624,-0.125000,42,4,9,51
625,-0.125000,42,4,9,51
626,-0.125000,42,4,9,51
627,-0.125000,42,4,9,51
628,-0.125000,42,4,9,51
629,-0.125000,42,4,9,51
630,-0.125000,42,4,9,51
631,-0.125000,42,4,9,51
632,-0.125000,42,4,9,51
633,-0.125000,42,4,9,51
634,-0.125000,42,4,9,51
635,-0.125000,42,4,9,51
636,-0.125000,42,4,9,51
637,-0.125000,42,4,9,51
638,-0.125000,42,4,9,51
639,-0.125000,42,4,9,51
640,-0.125000,42,4,9,51
641,-0.125000,42,4,9,51
642,-0.125000,42,4,9,51
643,-0.125000,42,4,9,51
644,-0.125000,42,4,9,51
645,-0.125000,42,4,9,51
646,-0.125000,42,4,9,51
647,-0.125000,42,4,9,51
648,-0.125000,42,4,9,51
649,-0.125000,42,4,9,51
650,-0.125000,42,4,9,51
651,-0.125000,42,4,9,51
652,-0.125000,42,4,9,51
653,-0.125000,42,4,9,51
654,-0.125000,42,4,9,51
655,-0.125000,42,4,9,51
656,-0.125000,42,4,9,51
657,-0.125000,42,4,9,51
658,-0.125000,42,4,9,51
659,-0.125000,42,4,9,51
660,-0.125000,42,4,9,51
661,-0.125000,42,4,9,51
662,-0.125000,42,4,9,51
663,-0.125000,42,4,9,51
664,-0.125000,42,4,9,51
665,-0.125000,42,4,9,51
666,-0.125000,42,4,9,51
667,-0.125000,42,4,9,51
668,-0.125000,42,4,9,51
669,-0.125000,42,4,9,51
670,-0.125000,42,4,9,51
671,-0.125000,42,4,9,51
672,-0.125000,42,4,9,51
673,-0.125000,42,4,9,51
674,-0.125000,42,4,9,51
675,-0.125000,42,4,9,51
676,-0.125000,42,4,9,51
677,-0.125000,42,4,9,51
678,-0.125000,42,4,9,51
679,-0.125000,42,4,9,51
680,-0.125000,42,4,9,51
681,-0.125000,42,4,9,51
682,-0.125000,42,4,9,51
683,-0.125000,42,4,9,51
684,-0.125000,42,4,9,51
685,-0.125000,42,4,9,51
686,-0.125000,42,4,9,51
687,-0.125000,42,4,9,51
688,-0.125000,42,4,9,51
689,-0.125000,42,4,9,51
690,-0.125000,42,4,9,51
691,-0.125000,42,4,9,51
692,-0.125000,42,4,9,51
693,-0.125000,42,4,9,51
694,-0.125000,42,4,9,51
695,-0.125000,42,4,9,51
696,-0.125000,42,4,9,51
697,-0.125000,42,4,9,51
698,-0.125000,42,4,9,51
699,-0.125000,42,4,9,51
700,-0.125000,42,4,9,51
701,-0.125000,42,4,9,51
702,-0.125000,42,4,9,51
703,-0.125000,42,4,9,51
704,-0.125000,42,4,9,51
705,-0.125000,42,4,9,51
